City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,tamanrasset,22.785,5.5228,13.950000000000045,12,0,1.03,DZ,1712893142
294,comodoro rivadavia,-45.8667,-67.5,4.920000000000016,60,0,3.09,AR,1712893142
295,lower hutt,-41.2167,174.9167,13.510000000000048,93,100,8.75,NZ,1712893023
296,namtsy,62.7161,129.6658,-8.810000000000002,80,89,6.71,RU,1712893143
297,soure,-0.7167,-48.5233,24.74000000000001,96,100,3.09,BR,1712893143
298,hakui,36.8833,136.7833,21.360000000000014,48,0,2.43,JP,1712893143
299,taro,-8.3862,115.28,27.0,81,52,1.31,ID,1712893143
300,juuka,63.2333,29.25,1.7000000000000455,98,100,2.78,FI,1712893144
301,korla,41.7597,86.1469,20.689999999999998,20,28,4.27,CN,1712893144
302,alesund,62.4723,6.1549,10.510000000000048,62,20,6.17,NO,1712893144
303,irtyshsk,53.3333,75.4572,1.2200000000000273,77,89,2.71,KZ,1712893144
304,salalah,17.0151,54.0924,28.05000000000001,69,75,0.51,OM,1712893144
305,kupang,-10.1667,123.5833,32.32000000000005,66,40,4.12,ID,1712893145
306,kosh-agach,50.0,88.6667,-2.609999999999957,69,100,0.45,RU,1712893145
307,tura,25.5198,90.2201,34.710000000000036,21,3,1.82,IN,1712893025
308,le port,-20.9373,55.2919,26.0,77,78,2.85,RE,1712893145
309,east london,-33.0153,27.9116,15.520000000000039,67,0,6.69,ZA,1712893146
310,moab,38.5733,-109.5498,16.03000000000003,18,0,2.3,US,1712892856
311,kulhudhuffushi,6.6221,73.07,29.390000000000043,74,77,4.64,MV,1712893146
312,dumai,1.6833,101.45,29.010000000000048,77,100,1.89,ID,1712893146
313,sibut,5.718,19.0739,25.24000000000001,59,88,1.52,CF,1712893147
314,dampit,-8.2116,112.7493,30.5,59,28,3.12,ID,1712893147
315,al ghayzah,16.2079,52.176,28.30000000000001,64,30,4.92,YE,1712893147
316,beyneu,45.3167,55.2,11.07000000000005,45,15,7.7,KZ,1712893147
317,wuwei,37.9281,102.6414,19.189999999999998,19,83,4.11,CN,1712893147
318,minas de marcona,-15.2119,-75.1103,17.189999999999998,80,100,3.8,PE,1712893148
319,kencong,-8.2833,113.3667,29.52000000000004,71,33,2.93,ID,1712893148
320,kavaratti,10.5669,72.642,29.310000000000002,69,30,3.76,IN,1712893148
321,ola,59.5833,151.2833,-0.47999999999996135,90,42,0.98,RU,1712893149
322,rio verde de mato grosso,-18.9181,-54.8442,23.860000000000014,95,100,1.65,BR,1712893149
323,zambezi,-13.5432,23.1047,17.760000000000048,98,58,1.84,ZM,1712893149
324,aitape,-3.1374,142.3475,28.870000000000005,79,98,2.02,PG,1712893149
